Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,01/09/2026 18:28,FALSE,County Dublin Running,7.02,504,00:34:02,157,181,160,174,04:51,04:04,21,18,1.29,0,"5,390",No,00:04.7,8,--,--,00:34:01,00:34:12,27,45
Running,25/08/2026 19:09,FALSE,County Dublin Running,5.08,369,00:26:21,157,169,157,169,05:11,04:41,16,12,1.23,0,"4,118",No,00:24.7,6,--,--,00:26:08,00:27:37,28,50
Running,23/08/2026 11:30,FALSE,County Dublin Running,18.01,"1,305",01:31:19,163,175,161,177,05:04,04:21,61,67,1.22,0,"14,648",No,00:03.6,19,--,--,01:31:14,01:31:30,23,60
Running,19/08/2026 18:55,FALSE,County Dublin Running,9.02,650,00:43:53,167,184,161,173,04:52,04:16,20,27,1.28,0,"7,026",No,00:04.6,10,--,--,00:43:51,00:43:53,18,41
Running,17/08/2026 18:46,FALSE,County Dublin Running,5.02,359,00:24:52,158,178,160,176,04:57,04:09,12,19,1.26,0,"3,964",No,00:05.6,6,--,--,00:24:50,00:25:02,19,30
Running,15/08/2026 09:02,FALSE,County Dublin Running,16.17,"1,223",01:20:23,171,189,161,178,04:58,04:16,93,95,1.25,0,"12,904",No,00:43.2,17,--,--,01:20:20,01:20:23,16,62
Running,13/08/2026 18:51,FALSE,County Dublin Running,6.19,458,00:30:53,169,179,160,174,04:59,04:21,22,20,1.25,0,"4,898",No,00:51.1,7,--,--,00:30:52,00:30:58,29,51
Running,09/08/2026 11:10,FALSE,County Waterford Running,6,456,00:35:09,151,166,155,168,05:51,04:54,64,61,1.1,0,"5,462",No,00:02.2,7,--,--,00:34:59,00:36:59,9,39
Running,07/08/2026 17:44,FALSE,County Dublin Running,10.53,799,00:54:02,167,182,159,171,05:08,04:29,29,31,1.22,0,"8,564",No,02:37.3,11,--,--,00:53:45,00:55:33,26,60
Running,05/08/2026 19:07,FALSE,County Dublin Running,8.01,608,00:46:18,148,168,156,175,05:47,04:28,26,26,1.11,0,"7,200",No,00:02.9,9,--,--,00:46:15,00:46:55,18,45
Running,30/07/2026 19:32,FALSE,County Dublin Running,5.03,351,00:24:54,156,179,159,171,04:57,04:00,5,12,1.27,0,"3,922",No,00:07.7,6,--,--,00:24:53,00:25:16,18,31
Running,28/07/2026 19:53,FALSE,County Dublin Running,5.04,382,00:30:49,138,153,154,166,06:07,05:20,20,19,1.06,0,"4,772",No,00:13.8,6,--,--,00:30:33,00:34:37,28,48
Running,26/07/2026 12:03,FALSE,County Dublin Running,13.3,988,01:08:32,163,179,161,171,05:09,04:19,46,50,1.21,0,"10,986",No,01:30.1,14,--,--,01:08:19,01:09:56,26,59
Running,25/07/2026 13:24,FALSE,County Dublin Running,6.02,437,00:30:39,161,178,160,177,05:05,03:54,1,10,1.23,0,"4,878",No,00:05.3,7,--,--,00:30:37,00:31:25,19,30
Running,22/07/2026 19:39,FALSE,County Dublin Running,8.25,604,00:43:20,157,178,158,171,05:15,04:15,13,22,1.21,0,"6,816",No,01:07.4,9,--,--,00:43:13,00:45:23,18,41
Running,19/07/2026 10:13,FALSE,County Dublin Running,10.47,808,00:53:11,169,182,160,170,05:05,04:31,26,26,1.23,0,"8,472",No,02:17.0,11,--,--,00:53:03,00:53:59,26,60
Running,17/07/2026 17:31,FALSE,County Dublin Running,5.02,369,00:25:45,159,177,157,165,05:08,04:14,11,17,1.24,0,"4,008",No,00:03.8,6,--,--,00:25:41,00:26:33,19,30
Running,12/07/2026 12:56,FALSE,County Dublin Running,7.03,541,00:36:05,166,183,159,172,05:08,04:21,7,14,1.23,0,"5,714",No,00:08.3,8,--,--,00:35:59,00:36:53,18,30
Running,10/07/2026 15:24,FALSE,County Dublin Running,5.02,412,00:25:32,165,182,157,172,05:05,04:24,11,14,1.25,0,"3,982",No,00:06.0,6,--,--,00:25:31,00:25:57,19,31
Running,06/07/2026 17:30,FALSE,County Dublin Running,5.03,385,00:26:48,161,179,158,229,05:20,04:09,9,4,1.19,0,"4,194",No,00:07.0,6,--,--,00:26:47,00:28:53,19,32
Running,14/06/2026 12:31,FALSE,County Dublin Running,5.03,369,00:25:33,145,184,158,176,05:05,04:12,16,17,1.25,0,"4,008",No,00:07.2,6,--,--,00:25:31,00:26:03,17,30
Running,09/06/2026 08:13,FALSE,County Dublin Running,4.02,305,00:23:28,149,167,155,164,05:50,04:59,15,17,1.1,0,"3,640",No,00:05.0,5,--,--,00:23:13,00:25:11,28,45
Running,08/06/2026 08:27,FALSE,Running,4.02,313,00:25:32,140,163,148,169,06:21,04:49,--,--,1.06,0,"3,846",No,00:05.9,5,--,--,00:24:48,00:26:11,--,--
Running,25/05/2026 19:17,FALSE,County Dublin Running,5.04,409,00:30:58,154,179,154,168,06:09,04:53,19,17,1.06,0,"4,774",No,00:11.1,6,--,--,00:30:46,00:31:12,27,48
Running,11/05/2026 19:20,FALSE,County Dublin Running,5.04,342,00:24:37,155,181,158,174,04:53,04:23,14,19,1.3,0,"3,852",No,00:11.0,6,--,--,00:24:35,00:25:20,19,32
Running,04/05/2026 12:36,FALSE,County Dublin Running,5.03,376,00:25:42,169,185,157,174,05:07,04:16,8,17,1.24,0,"4,010",No,00:07.6,6,--,--,00:25:40,00:26:18,19,30
Running,03/03/2026 18:47,FALSE,County Dublin Running,5.03,363,00:25:05,150,180,159,181,04:59,04:12,19,16,1.26,0,"3,956",No,00:06.2,6,--,--,00:24:56,00:25:15,27,48
Running,28/02/2026 09:08,FALSE,County Dublin Running,5.03,372,00:25:17,152,181,158,175,05:02,04:16,20,26,1.26,0,"3,994",No,00:08.4,6,--,--,00:25:05,00:26:32,17,30
Running,24/02/2026 18:25,FALSE,County Dublin Running,5.07,387,00:25:24,166,189,157,172,05:01,04:21,8,14,1.27,0,"3,948",No,00:16.1,6,--,--,00:25:21,00:25:24,19,30
Running,15/02/2026 11:12,FALSE,County Dublin Running,5.56,417,00:29:17,163,179,160,168,05:16,04:31,9,15,1.19,0,"4,628",No,02:48.9,6,--,--,00:29:16,00:30:18,18,30
Running,11/02/2026 19:07,FALSE,County Dublin Running,5.03,395,00:26:19,167,177,158,176,05:14,04:12,9,15,1.21,0,"4,114",No,00:10.4,6,--,--,00:26:17,00:26:19,19,30
Running,09/02/2026 18:47,FALSE,County Dublin Running,5.02,390,00:26:43,158,184,157,169,05:19,04:46,12,19,1.2,0,"4,180",No,00:05.1,6,--,--,00:26:41,00:26:43,17,31
Running,07/02/2026 12:06,FALSE,County Dublin Running,5.03,403,00:26:51,173,189,158,172,05:20,04:44,10,17,1.19,0,"4,212",No,00:07.5,6,--,--,00:26:46,00:27:23,18,30
Running,04/02/2026 19:34,FALSE,County Dublin Running,5.08,427,00:31:55,149,176,155,170,06:17,05:12,18,20,1.03,0,"4,916",No,00:26.4,6,--,--,00:31:48,00:31:57,27,48
Running,27/01/2026 19:49,FALSE,County Dublin Running,5.28,420,00:28:41,163,182,159,169,05:26,04:56,21,21,1.16,0,"4,508",No,00:14.0,7,--,--,00:28:40,00:28:59,27,60
Running,25/01/2026 12:50,FALSE,County Dublin Running,5.51,432,00:29:31,163,184,158,167,05:21,04:57,17,17,1.18,0,"4,654",No,02:40.8,6,--,--,00:29:24,00:30:04,17,33
Running,23/01/2026 18:21,FALSE,County Dublin Running,5.66,476,00:30:44,171,185,157,168,05:26,04:47,18,21,1.17,0,"4,806",No,03:27.5,6,--,--,00:30:39,00:31:19,27,48
Running,20/01/2026 19:01,FALSE,County Dublin Running,5.1,426,00:31:49,149,178,154,169,06:14,04:50,21,19,1.04,0,"4,890",No,00:26.7,6,--,--,00:31:41,00:33:09,27,48
Running,15/01/2026 19:13,FALSE,County Dublin Running,5.13,435,00:33:31,151,176,152,231,06:32,04:20,15,16,0.99,0,"5,154",No,00:37.8,6,--,--,00:33:20,00:34:47,28,50
Running,06/01/2026 18:48,FALSE,County Dublin Running,5.55,477,00:31:10,173,187,158,245,05:37,05:00,11,18,1.13,0,"4,906",No,03:13.8,6,--,--,00:31:03,00:32:36,19,31
